实体1,实体2
1001,1002
1003,1004
1006,1005
1008,1007
1010,1009
1011,1012
1017,1018
1019,1020
1022,1021
1028,1027
1001,1002
1017,1018
1031,1032
1039,1038
1055,1054
1026,1025
1057,1056
1058,1059
1060,1061
1065,1064
1066,1067
1066,1067
1066,1067
1092,1093
1136,1135
1139,1140
1152,1151
1060,1061
1190,1191
1236,1235
1250,1251
1254,1255
1271,1270
1277,1278
1284,1283
1302,1301
1092,1093
1273,1197
1325,1324
1346,1345
1347,1348
1387,1386
1391,1390
1403,1402
1428,1429
1439,1438
1452,1453
1459,1089
1475,1476
1251,1484
1492,1491
1496,1495
1502,1503
1522,1523
1527,1528
1010,1009
1535,1536
1538,1539
1563,1562
1475,1476
1579,1578
1346,1589
1602,1601
1643,1644
